Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (? Cr)
07-Nov-22,15610.95,15647.25,15505.75,15615.15,2098710460,54741.24
09-Nov-22,15684.45,15686.35,15534.85,15567.25,2286514913,56768.38
10-Nov-22,15490.25,15523.9,15384.35,15440,1696143940,47046.71
11-Nov-22,15633.5,15662.05,15612.45,15649.1,2301538901,65405.72
14-Nov-22,15672.5,15684.25,15627.75,15650.2,1975805848,51967.69
15-Nov-22,15678.5,15708.9,15609.5,15693.9,1490601593,43328.34
16-Nov-22,15696.55,15711.3,15607.25,15663.3,1895666450,48591.62
17-Nov-22,15630.55,15661.1,15573.95,15597.25,1751072310,43854.1
18-Nov-22,15634.3,15644.8,15472.35,15550.85,1740991153,43855.37
21-Nov-22,15514.6,15523.15,15431.2,15453.8,1897045381,39062.97
22-Nov-22,15472.65,15518.1,15437.3,15509.2,1889428183,41267.02
23-Nov-22,15572.75,15572.9,15520.25,15538.15,1966564981,43505.26
24-Nov-22,15588.45,15706.5,15567.75,15680.8,1938019518,44033.16
25-Nov-22,15719.8,15743.1,15668.35,15727.25,2580923382,46425.53
28-Nov-22,15683.75,15817.35,15642.8,15784.45,2407263794,48790.29
29-Nov-22,15784.55,15859.35,15782.4,15812.45,2085343665,44182.45
30-Nov-22,15827.45,15991.6,15820.55,15946.15,3148620915,87021.75
01-Dec-22,16041.15,16041.65,15972.75,16003.95,2087260933,54763.64
02-Dec-22,15977.5,15991.05,15909.6,15963.5,2231197217,51756.63
05-Dec-22,15994.95,15999.8,15881.8,15967.2,2366550196,48301.66
06-Dec-22,15904.1,15936.7,15881.6,15922.85,2311633800,43781.56
07-Dec-22,15932.25,15953.25,15836.05,15862,2008438540,42524.76
08-Dec-22,15881.8,15918.75,15860.3,15911.1,1967287299,44768.86
09-Dec-22,15964.85,15967.3,15727.35,15812.75,3679343930,53340.85
12-Dec-22,15759.65,15836.85,15687.95,15828,2791385743,42396.27
13-Dec-22,15863.25,15913.8,15830.65,15904.5,3497303705,47167.84
14-Dec-22,15958.15,15988.55,15946.3,15963.8,4415929519,49288.98
15-Dec-22,15938.05,15968.2,15758.85,15783.8,3335428333,45875.91
16-Dec-22,15710.9,15799.35,15625.25,15636.35,2877750101,57223.41
19-Dec-22,15658.85,15764,15606.15,15755.2,2537045437,39786.77
20-Dec-22,15704.05,15740.25,15580.8,15726.2,2326129868,39296.79
21-Dec-22,15772.95,15812.05,15497.6,15527.55,3062020011,49497.11
22-Dec-22,15599.55,15636.1,15369.6,15431.5,2756025508,45309.61
23-Dec-22,15300.75,15349.35,15018.75,15046,2817098950,48222.81
26-Dec-22,15060.85,15350.35,14985.4,15298.55,2912946876,39624.58
27-Dec-22,15375.2,15433.65,15278.6,15418.35,2551296617,37155.47
28-Dec-22,15390.55,15468.15,15363.65,15432.8,2369754511,37262.82
29-Dec-22,15370,15517.45,15307,15485.2,2121593379,43553.07
30-Dec-22,15557.75,15581.95,15425.65,15448.85,2177895200,37330.91
